num,lat,lng,approx,address
1,56.4266907,12.9401117,0,"Tomtaholmsvägen 8, Östra Karup"
2,56.4245508,12.8506128,0,"Örebäcksvallen, Båstad"
3,56.4323324,12.8341622,0,"Munkgatan 2, 269 35 Båstad"
4,56.3966991,12.6885952,0,"Rammsjövägen 184, Båstad"
5,56.4055324,12.7328529,0,"Glimmingevägen 1, Västra Karup"
6,56.3902622,12.7737127,0,"Stålhögavägen 12, Grevie"
7,56.3884549,12.7743439,0,"Grusåsvägen 1, Grevie"
8,56.3492884,12.8064774,0,"Idrottsvägen 4, Förslöv"
9,56.3606914,12.7999809,0,"Bjäredalsvägen 392, Förslöv"
10,56.3063015,12.7787152,0,"Haragårdsvägen 45, Vejbystrand"
11,56.2804491,13.0125327,0,"Kollebäcksvägen 82, 266 93 Munka-ljungby"
12,56.2429224,12.8619375,1,"Valhallsbyaväg 118, Ängelholm"
13,56.2740367,12.8545255,0,"Valnötsvägen 5, Ängelholm"
14,56.3183640,12.9149393,0,"Hjärnarpsvägen 3, Hjärnarp"
15,56.2499079,12.8951481,0,"Transportgatan 5, Ängelholm"
16,56.2515465,12.8887344,0,"Heimdallgatan 42, 262 71 Ängelholm"
17,56.2436007,12.8577678,0,"Järnvägsgatan 8, Ängelholm"
18,56.2427820,12.8580174,0,"Västra Kyrkogatan 1, Ängelholm"
19,56.2462461,12.8711793,0,"Sandvångsgatan 12, Ängelholm"
20,56.2494888,12.8552643,0,"Industrigatan 6 (runt hörnan), Ängelholm"
21,56.2444773,12.8550915,0,"Industrigatan 6, Ängelholm"
22,56.2458965,12.8640283,0,"Storgatan 58, Ängelholm"
23,56.1975448,12.9774426,0,"Starby landsväg 344, Ängelholm"
24,56.2494947,12.9085501,0,"Framtidsgatan, avfart Ängelholm N"
25,56.2219583,13.0500569,0,"Össjö-Boarpsvägen 181, Boarp"
26,56.2219583,13.0500569,0,"Össjö-boarpsvägen 181, 266 91 Munka-ljungby"
27,56.2454583,13.0192612,0,"Ekebo, Össjö"
28,56.2133636,12.5558492,0,"Verkstadsgatan 11, Höganäs"
29,56.2013381,12.5850457,0,"Brännerigatan 38, Höganäs"
30,56.2000951,12.5642895,0,"Storgatan 21, Höganäs"
31,56.2032679,12.5599781,0,"Bruksgatan 26, Höganäs"
32,56.1996696,12.5602963,0,"Storgatan 63, Höganäs"
33,56.2133636,12.5558492,0,"Verkstadsgatan 8, Höganäs"
34,56.1723405,12.6126643,0,"Brandstorpsvägen 159, Ingelsträde/Viken"
35,56.2009430,12.5522967,0,"Köpmansgatan 8, 263 38 Höganäs"
36,56.1646368,12.6810223,0,"Mjöhultsvägen 202, Allerum"
37,56.0500775,12.7086589,0,"Filbornavägen 9, 252 76 Helsingborg"
38,56.1031357,12.7424362,0,"Fabriksgatan 2, Ödåkra"
39,56.0599045,12.7010424,0,"Rosenbergsgatan 11, Helsingborg"
40,56.0707676,12.7556227,0,"Mogatan 6, Helsingborg"
41,56.0417376,12.7239472,0,"Örnsköldsviksgatan 15, Helsingborg"
42,56.0132685,12.7308072,0,"Landskronavägen 14, Helsingborg"
43,56.0301332,12.7329132,0,"Åldermansgatan 8, 256 56 Helsingborg"
44,56.0480593,12.6931673,0,"Kullagatan 23, Helsingborg"
45,55.8854363,12.8388404,0,"Ringvägen 48, Landskrona"
46,55.8677201,12.8372845,0,"Industrigatan 68, Landskrona"
47,56.0882742,12.9195361,0,Ågatan 8 (Bjuvs Gruvmuseum)
48,56.1376007,12.9484872,0,"Trädgårdsgatan 36, Åstorp"
49,56.1228325,12.9044853,0,"Parallellvägen 50, Åstorp"
50,56.2034298,13.0230139,1,"Öja 4646, Klippan"
51,56.1311545,13.1277864,0,"Ängelholmsgatan 35, Klippan"
52,56.1417104,13.4024293,0,"Badvägen 7, Perstorp"
53,56.3072686,13.3836997,0,"Landshövdingevägen 29, 286 72 Åsljunga"
54,56.2500276,13.1965477,0,"Kungsleden 9, Eket"
55,56.2911881,13.2808449,0,"Hallandsv. 24, Örkelljunga"
56,56.1658612,13.5754773,0,"Hörjavägen 4, Tyringe"
57,56.1579860,13.7653328,1,"Saxbäcksvägen 1, Finja"
58,56.1485013,13.7823075,0,"Hövdingegatan 25 / 3:e avenyn 9, Hässleholm"
59,56.1579108,13.8086010,0,"Industrigatan 8, Hässleholm"
60,56.1565483,13.7668563,0,"Östergatan 17, Hässleholm"
61,56.1666997,13.7994989,0,"Enhörningsvägen 2, Hässleholm"
62,56.3342022,13.6588319,0,"Lehultsvägen 17, Vittsjö"
63,56.4085089,13.6416957,0,"Kronobergsvägen 5, Emmaljunga"
64,56.1354108,13.7817908,1,"Röinge, Hässleholm"
65,56.2100466,13.7551005,1,"modighus 2561, 281 95 Vankiva"
66,56.2863548,13.7129040,0,"Södra Vägen 2, Bjärnum"
67,56.1579860,13.7653328,1,"Godsmagasinet, N. Järnvägsgatan, Vinslöv"
68,55.8511518,13.6581221,1,"Önneköp Per Bings väg 10, 242 98 Hörby"
69,55.8622876,13.1612625,0,"Yllegatan 4, Marieholm"
70,55.9464855,13.3715439,0,"Rullebörsvägen 14, 241 96 Stockamöllan"
71,55.7899081,13.1022411,0,"Floravägen 54, Kävlinge"
72,55.7754823,13.0949923,0,"Grönegatan 2, Furulund"
73,55.5974235,13.4061003,0,"Risavägen 2A, Genarp"
74,55.6745988,13.5511272,1,Vomb
75,55.7032367,13.1917044,0,"Lilla Fiskaregatan 4, Lund"
76,55.6053268,13.0015932,0,"Södergatan 12, Malmö"
77,55.5725042,13.0389634,0,"Cypressv. 6, Malmö"
78,55.5995942,13.0012270,0,"Södra Förstadsgatan 14, Malmö"
79,55.4023959,13.0079292,0,"Skegrievägen 75, Höllviken"
80,55.3792618,13.3930369,0,"Norra äspövägen 33-3, 231 99 Klagstorp"
81,55.3914736,13.1272336,0,"Tommarpsvägen 85, Trelleborg"
82,55.4246303,13.5697188,1,Skivarp
83,55.5097831,13.2389377,0,"Storgatan 42, Svedala"
84,55.6569313,13.8900860,0,"Storgatan 34, Lövestad"
85,55.6642079,13.8861355,0,"Östra Klasarödsvägen 246, Lövestad"
86,55.5048336,14.1482026,0,"Herrestadsv. 3, Hammenhög"
87,55.5385427,14.2348599,0,"Industrigatan 12, Simrishamn"
88,55.5632660,14.2896472,1,Gladsax
89,55.5700057,13.9272256,1,"Tryde 5801, Tomelilla"
90,55.5475782,14.1172180,0,"Storgatan 39, Smedstorp"
91,55.8416018,14.0906504,0,"Tingsvägen 23, Degeberga"
92,55.7942464,13.9661675,0,"Forsakarsvägen 35, Degeberga"
93,55.9159492,14.1115241,0,"Lyngbyvägen 244, Gärds Köpinge"
94,55.9469145,13.9072293,0,"Anne-Marie Åbergsväg 23, Sätaröd"
95,55.9336073,13.9727443,0,"Feglers gata 30, Tollarp"
96,55.9312292,13.9957642,0,"Östra Vramsvägen 29, Tollarp"
97,56.0293778,14.1566859,1,"Bakom kyrkan, Vittskövle"
98,55.9229707,14.2941266,0,"Torget 11, Åhus"
99,55.9310104,14.2820655,0,"Fyrvaktaregatan 1, Åhus"
100,56.0303034,14.1574303,0,"Östra Vallgatan 19, Kristianstad"
101,56.0293778,14.1566859,1,"JH Dahlsgatan 19, Kristianstad"
102,56.0586846,14.1659622,0,"Näsbychaussen 119, Kristianstad"
103,56.0232629,14.1405441,0,"Nässelvägen 5, Kristianstad"
104,55.9845187,14.2760897,0,"Gälltoftavägen 1, Rinkaby"
105,56.0282304,14.2064244,0,"Blekingevägen 6F, Kristianstad"
106,56.0035163,14.1084967,0,"Optovägen 2, Kristianstad"
107,56.1651291,14.1004074,0,"Fabriksgatan 6, Hanaskog"
108,56.4758692,14.0969548,1,Killeberg
109,56.2836779,14.5104489,0,"V. Storgatan 4, Olofström"
110,56.0481230,14.6829035,0,"Lörbyvägen 358, Sölvesborg"
111,56.1936661,14.8525661,0,"Strömmavägen 28 (under Kreativum), Karlshamn"
112,56.2436910,15.2819044,0,"Flisevägen 1, Kallinge"
113,56.2680131,15.9573991,0,"Riksvägen 56, Fågelmara"
114,56.1952913,15.6358205,0,"Lallerstedts gata 4, Lyckeby"
115,56.4665829,13.5770913,0,"Andsjöholmsvägen 17, 285 37 Markaryd"
116,56.5412305,13.7243718,0,"Lagastigsgatan 22, Strömsnäsbruk"
117,56.5407258,13.5270178,1,"Bergshult 4291, Markaryd"
118,56.5790574,13.7473624,0,"Skolgatan 1, Traryd"
119,56.7396945,13.8614249,1,"Bäckaryd 1, Hamneda"
120,56.7785567,13.8025393,1,"Romborna, Norragården 1, Annerstad"
121,56.6750570,13.7010601,1,"Berghem, Västregård 5, Ljungby"
122,56.8285286,13.9332190,0,"Gängesvägen 9, Ljungby"
123,56.9580188,13.7341151,0,Bolmsö
124,57.2500000,13.4500000,1,"Köpmansgatan 5C, Gislaved"
125,57.3604993,13.7315589,0,"Smedjegatan, Gnosjö"
126,57.3558073,13.7344963,0,"Hellmansgatan 18, Gnosjö"
127,57.4948753,14.1583913,0,"Storgatan 4, Vaggeryd"
128,57.7818099,14.1731829,0,"Smedjegatan 23C, Jönköping"
129,57.7818099,14.1731829,0,"Smedjegatan 27, Jönköping"
130,57.6530377,14.6981554,1,"Larstorps Gård, Nässjö"
131,56.8787183,14.8094385,1,"Ör Svartensgård 5, 342 64 Ör"
132,56.8787183,14.8094385,1,"Fägerstad Norregård 1, Furuby"
133,56.7544374,14.7181564,1,"Boda 3, Lammhult"
134,56.8789913,14.7696971,0,"Storgatan 29, Växjö"
135,56.9317544,14.5767923,1,"Lekaryd, Alvesta"
136,57.0043559,14.5728110,1,Moheda
